id	level	simp	trad	pinyin	tones	pos	notationSimp	notationTrad	defs
L7-4856	7-9	野心	野心	yě xīn	3,1	N	野心	野心	ambition; wild schemes; careerism
L7-4857	7-9	野营	野營	yě yíng	3,2	V	野营	野營	to camp; field lodgings
L7-4858	7-9	业	業	yè	4	Suffix	业（服务业）	業（服務業）	line of business; industry; occupation; job; employment; school studies; enterprise; property; (Buddhism) karma; deed; to engage in; already
L7-4859	7-9	业绩	業績	yè jì	4,4	N	业绩	業績	achievement; accomplishment; (in more recent usage) performance (of a business, employee etc); results
L7-4860	7-9	夜班	夜班	yè bān	4,1	N	夜班	夜班	night shift
L7-4861	7-9	夜市	夜市	yè shì	4,4	N	夜市	夜市	night market
L7-4862	7-9	夜晚	夜晚	yè wǎn	4,3	N	夜晚	夜晚	night; CL:個|个[ge4]
L7-4863	7-9	夜校	夜校	yè xiào	4,4	N	夜校	夜校	evening school; night school
L7-4864	7-9	夜以继日	夜以繼日	yè yǐ jì rì	4,3,4,4		夜以继日	夜以繼日	night and day (idiom); continuous strenuous effort
L7-4865	7-9	夜总会	夜總會	yè zǒng huì	4,3,4	N	夜总会	夜總會	nightclub; nightspot
L7-4866	7-9	液晶	液晶	yè jīng	4,1	N	液晶	液晶	liquid crystal
L7-4867	7-9	液体	液體	yè tǐ	4,3	N	液体	液體	liquid
L7-4868	7-9	一把手	一把手	yī bǎ shǒu	1,3,3		一把手	一把手	working hand; member of a work team; participant; the boss (short form of 第一把手[di4 yi1 ba3 shou3])
L7-4869	7-9	一线	一線	yī xiàn	1,4	N	一线	一線	front line
L7-4870	7-9	一一	一一	yī yī	1,1	Adv	一一	一一	one by one; one after another
L7-4871	7-9	伊斯兰教	伊斯蘭教	Yī sī lán jiào	1,1,2,4	N	伊斯兰教	伊斯蘭教	Islam
L7-4872	7-9	衣食住行	衣食住行	yī shí zhù xíng	1,2,4,2		衣食住行	衣食住行	(lit.) clothing, food, housing and transportation (idiom); (fig.) people's basic needs
L7-4873	7-9	医务	醫務	yī wù	1,4	N	医务	醫務	medical affairs
L7-4874	7-9	依	依	yī	1	V/Prep	依	依	to depend on; to comply with or listen to sb; according to; in the light of
L7-4875	7-9	依托	依託	yī tuō	1,1	V	依托	依託	to rely on; to depend on; support
L7-4876	7-9	依依不舍	依依不捨	yī yī bù shě	1,1,4,3		依依不舍	依依不捨	reluctant to part (idiom); broken-hearted at having to leave
L7-4877	7-9	一不小心	一不小心	yī bù xiǎo xīn	1,4,3,1		一不小心	一不小心	to be a little bit careless; to have a moment of inattentiveness; accidentally
L7-4878	7-9	一刹那	一剎那	yī chà nà	1,4,4	N	一刹那	一剎那	a moment; an instant; in a flash
L7-4879	7-9	一大早	一大早	yī dà zǎo	1,4,3	N	一大早	一大早	at dawn; at first light; first thing in the morning
L7-4880	7-9	一动不动	一動不動	yī dòng bù dòng	1,4,4,4		一动不动	一動不動	motionless
L7-4881	7-9	一度	一度	yī dù	1,4	Adv	一度	一度	for a time; at one time; one time; once
L7-4882	7-9	一概	一概	yī gài	1,4	Adv	一概	一概	all; without any exceptions; categorically
L7-4883	7-9	一概而论	一概而論	yī gài ér lùn	1,4,2,4		一概而论	一概而論	to lump different matters together (idiom)
L7-4884	7-9	一个劲儿	一個勁兒	yī gè jìn r	1,4,4,5	Adv	一个劲儿	一個勁兒	erhua variant of 一個勁|一个劲[yi1 ge4 jin4]
L7-4885	7-9	一晃	一晃	yī huǎng	1,3	V	一晃	一晃	(of passing time) in an instant; (of a sight) in a flash
L7-4886	7-9	一技之长	一技之長	yī jì zhī cháng	1,4,1,2		一技之长	一技之長	proficiency in a particular field (idiom); skill in a specialized area (idiom)
L7-4887	7-9	一面	一面	yī miàn	1,4	N/Adv	一面	一面	one side; one aspect; simultaneously... (and...); one's whole face
L7-4888	7-9	一目了然	一目了然	yī mù liǎo rán	1,4,3,2		一目了然	一目了然	obvious at a glance (idiom)
L7-4889	7-9	一事无成	一事無成	yī shì wú chéng	1,4,2,2		一事无成	一事無成	(idiom) to have achieved nothing; to be a total failure; to get nowhere
L7-4890	7-9	一瞬间	一瞬間	yī shùn jiān	1,4,1	N	一瞬间	一瞬間	split second
L7-4891	7-9	一味	一味	yī wèi	1,4	Adv	一味	一味	persistently; stubbornly; blindly
